sku	oem	oem_price	price_as_of	notes
oil-filter	9A1.107.224.00			
engine-oil	000.043.206.69			
air-filter	981.110.130.00			
spark-plugs	999.170.151.90			
serpentine-belt	9A1.102.218.00			
coolant	000.043.301.47			
coil-pack	9A1.602.104.07			
brake-fluid	000.043.203.66			
front-brake-pads	981.351.939.04			
rear-brake-pads	987.352.939.01			
front-pad-sensor	991.609.161.00			
rear-pad-sensor	981.609.163.00			
pdk-fluid	000.043.207.29			
pdk-gear-oil	999.917.546.00			
fuel-filter	9A1.201.511.00			
control-arm-front-rr	991.341.053.03			
tire-fl				
