ID,VIN,PLATE,PACKAGE_ID,MODEL,DIAGNOSE_MODEL,YEAR,DISPLACEMENT,TRANS,VENDER,REMARK_JSON,CAR_BRAND,ENGINE,CYLINDERS,CAMSHAFT
1,WP0ZZZ98ZES000001,,PORSCHE,Boxster GTS [博克斯特 GTS],Cayman/Boxster（981）,2014,3.4,自动,保时捷汽车,,保时捷,,,
2,WP0ZZZ98ZES000002,,PORSCHE,Cayman/Boxster（981）,Cayman/Boxster（981）,2014,,,,,保时捷,,,
3,WP0ZZZ98ZES000003,,PORSCHE,Cayman/Boxster（981）,Cayman/Boxster（981）,2015,,,,,保时捷,,,
4,WP0ZZZ98ZES000004,,PORSCHE,Cayman/Boxster（981）,Cayman/Boxster（981）,2015,,,,,保时捷,,,
5,WVGZZZ00ZED000005,,VW,Touareg [途锐],,2014,3.0,自动,大众汽车,,大众,,,
6,WP0ZZZ98ZES000006,,,,,,,,,,,,,
7,WP0ZZZ98ZES000007,,,,,,,,,,,,,
8,WP0ZZZ98ZES000008,,PORSCHE,Boxster GTS [博克斯特 GTS],,2015,3.4,自动,保时捷汽车,,保时捷,,,
9,WP0ZZZ98ZES000009,,,,,,,,,,,,,
10,WP0ZZZ98ZES000010,,,,,,,,,,,,,
11,WP0ZZZ98ZES000011,,,,,,,,,,,,,
12,LSVZZZ00ZES000012,,,,,,,,,,,,,
